,Organism group,ID,Create date,Isolation type,Location,Isolation source,Laboratory typing platform,Testing standard
455,escherichia_coli,ID_38080855,2024-04-11T13:50:15Z,clinical,USA:Boston,blood,Vitek,CLSI
18,escherichia_coli,ID_692575,2014-05-19T17:31:46Z,clinical,USA: Boston,urine,,
2062,escherichia_coli,ID_23882485,2022-06-23T00:10:49Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2892,escherichia_coli,ID_25788275,2022-10-21T16:16:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1055,escherichia_coli,ID_23859265,2022-06-22T16:53:30Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2998,escherichia_coli,ID_12677705,2016-06-06T16:14:37Z,clinical,USA:Boston,blood,Vitek,CLSI
2471,escherichia_coli,ID_23894405,2022-06-23T03:03:03Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
316,escherichia_coli,ID_25832315,2022-10-25T00:01:43Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2433,escherichia_coli,ID_23892025,2022-06-23T01:23:28Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1254,escherichia_coli,ID_23863325,2022-06-22T17:22:02Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1756,escherichia_coli,ID_23876295,2022-06-22T23:18:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
227,escherichia_coli,ID_25830055,2022-10-24T23:45:48Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1477,escherichia_coli,ID_23869175,2022-06-22T18:21:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2450,escherichia_coli,ID_23892365,2022-06-23T01:26:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
3002,escherichia_coli,ID_1874845,2016-11-10T13:04:05Z,clinical,,,,CLSI
1423,escherichia_coli,ID_23868075,2022-06-22T18:10:32Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1454,escherichia_coli,ID_23868715,2022-06-22T18:17:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2229,escherichia_coli,ID_23885965,2022-06-23T00:38:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2287,escherichia_coli,ID_23887145,2022-06-23T00:47:14Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2017,escherichia_coli,ID_23881545,2022-06-23T00:04:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
3029,escherichia_coli,ID_12773715,2015-12-01T17:20:16Z,clinical,USA:Boston,blood,Vitek,CLSI
1744,escherichia_coli,ID_23876065,2022-06-22T23:13:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2657,escherichia_coli,ID_25580605,2022-10-17T15:54:13Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2337,escherichia_coli,ID_23889965,2022-06-23T01:06:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2100,escherichia_coli,ID_23883285,2022-06-23T00:17:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
847,escherichia_coli,ID_32328735,2024-02-05T20:15:31Z,clinical,USA:Boston,urine,Vitek,CLSI
665,escherichia_coli,ID_15673895,2020-11-24T00:55:42Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
1225,escherichia_coli,ID_23862745,2022-06-22T17:18:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1199,escherichia_coli,ID_23862225,2022-06-22T17:14:42Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
547,escherichia_coli,ID_4567535,2019-07-12T10:50:38Z,clinical,"USA: Rochester, NY",sepsis,,CLSI
1576,escherichia_coli,ID_23871165,2022-06-22T18:38:15Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
2205,escherichia_coli,ID_23885485,2022-06-23T00:35:07Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
727,escherichia_coli,ID_32337655,2024-02-05T05:58:56Z,clinical,USA:Boston,urine,Vitek,CLSI
1560,escherichia_coli,ID_23870845,2022-06-22T18:35:18Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
1521,escherichia_coli,ID_23870065,2022-06-22T18:29:16Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
536,escherichia_coli,ID_4568035,2019-07-12T10:50:36Z,clinical,"USA: Rochester, NY",urine,,CLSI
1210,escherichia_coli,ID_23862445,2022-06-22T17:15:53Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
646,escherichia_coli,ID_15672785,2020-11-24T00:38:06Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
2022,escherichia_coli,ID_23881645,2022-06-23T00:04:54Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
172,escherichia_coli,ID_25828695,2022-10-24T23:34:38Z,environmental/other,Netherlands,retail beef,Sensititre,EUCAST
1899,escherichia_coli,ID_23879185,2022-06-22T23:41:36Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2476,escherichia_coli,ID_23894515,2022-06-23T03:04:18Z,clinical,USA: District of Columbia,Perirectal,Phoenix,CLSI
2005,escherichia_coli,ID_23881285,2022-06-23T00:02:42Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2393,escherichia_coli,ID_23891225,2022-06-23T01:17:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1107,escherichia_coli,ID_23860345,2022-06-22T17:01:48Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2270,escherichia_coli,ID_23886785,2022-06-23T00:44:08Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2008,escherichia_coli,ID_23881365,2022-06-23T00:03:25Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
437,escherichia_coli,ID_32328935,2024-02-05T18:02:41Z,clinical,USA:Boston,abdomen,Vitek,CLSI
1304,escherichia_coli,ID_23865575,2022-06-22T17:41:28Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2272,escherichia_coli,ID_23886825,2022-06-23T00:44:25Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2013,escherichia_coli,ID_23881465,2022-06-23T00:04:06Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1155,escherichia_coli,ID_23861305,2022-06-22T17:08:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2220,escherichia_coli,ID_23885785,2022-06-23T00:37:42Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
407,escherichia_coli,ID_32333215,2024-02-16T20:26:18Z,clinical,USA:Boston,Bronchial alveolar lavage,Vitek,CLSI
1349,escherichia_coli,ID_23866575,2022-06-22T17:53:58Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
839,escherichia_coli,ID_32329275,2024-02-11T08:02:25Z,clinical,USA:Boston,urine,Vitek,CLSI
2661,escherichia_coli,ID_25580685,2022-10-17T15:15:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
513,escherichia_coli,ID_4570035,2019-07-11T18:35:24Z,clinical,"USA: Rochester, NY",bone,,CLSI
1466,escherichia_coli,ID_23868955,2022-06-22T18:19:16Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
712,escherichia_coli,ID_32338575,2024-02-07T08:06:35Z,clinical,USA:Boston,urine,Vitek,CLSI
1931,escherichia_coli,ID_23879825,2022-06-22T23:46:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
15,escherichia_coli,ID_692515,2014-05-19T17:29:31Z,clinical,USA: Boston,urine,,
2423,escherichia_coli,ID_23891815,2022-06-23T01:22:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1520,escherichia_coli,ID_23870045,2022-06-22T18:29:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2583,escherichia_coli,ID_24165765,2022-07-06T07:07:52Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
694,escherichia_coli,ID_15674995,2020-11-24T01:13:08Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
458,escherichia_coli,ID_38080755,2024-04-11T13:50:35Z,clinical,USA:Boston,skin,Vitek,CLSI
1645,escherichia_coli,ID_23872555,2022-06-22T18:50:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2281,escherichia_coli,ID_23887025,2022-06-23T00:46:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2434,escherichia_coli,ID_23892045,2022-06-23T01:23:28Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1035,escherichia_coli,ID_23858865,2022-06-22T16:51:00Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2732,escherichia_coli,ID_25783935,2022-10-21T14:53:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
239,escherichia_coli,ID_25830425,2022-10-24T23:47:36Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
161,escherichia_coli,ID_25828475,2022-10-24T23:32:49Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
1638,escherichia_coli,ID_23872425,2022-06-22T18:49:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1579,escherichia_coli,ID_23871225,2022-06-22T18:38:44Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1974,escherichia_coli,ID_23880685,2022-06-22T23:52:19Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2318,escherichia_coli,ID_23889585,2022-06-23T01:04:08Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2837,escherichia_coli,ID_25786585,2022-10-21T15:47:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
428,escherichia_coli,ID_32330095,2024-02-05T01:03:29Z,clinical,USA:Boston,Vagina,Vitek,CLSI
2600,escherichia_coli,ID_24166105,2022-07-06T07:10:38Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2541,escherichia_coli,ID_23924185,2022-06-27T09:42:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1613,escherichia_coli,ID_23871925,2022-06-22T18:44:46Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
257,escherichia_coli,ID_25830795,2022-10-24T23:50:19Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2770,escherichia_coli,ID_25785245,2022-10-21T15:13:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
984,escherichia_coli,ID_23857845,2022-06-22T16:43:35Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
207,escherichia_coli,ID_25829445,2022-10-24T23:40:35Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1691,escherichia_coli,ID_23875005,2022-06-22T23:06:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
543,escherichia_coli,ID_4567185,2019-07-12T10:50:37Z,clinical,"USA: Rochester, NY",urine,,CLSI
1010,escherichia_coli,ID_23858365,2022-06-22T16:47:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1355,escherichia_coli,ID_23866695,2022-06-22T17:55:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1471,escherichia_coli,ID_23869055,2022-06-22T18:19:40Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1204,escherichia_coli,ID_23862325,2022-06-22T17:15:04Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1066,escherichia_coli,ID_23859485,2022-06-22T16:55:48Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
112,escherichia_coli,ID_25827215,2022-10-24T23:23:19Z,environmental/other,Netherlands,retail beef,Sensititre,EUCAST
1287,escherichia_coli,ID_23863985,2022-06-22T17:27:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
495,escherichia_coli,ID_12442685,2017-07-07T11:45:09Z,clinical,USA:Boston,urine,Vitek,CLSI
1817,escherichia_coli,ID_23877535,2022-06-22T23:27:03Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2710,escherichia_coli,ID_25783495,2022-10-21T14:42:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2782,escherichia_coli,ID_25785485,2022-10-21T15:19:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
251,escherichia_coli,ID_25830695,2022-10-24T23:49:27Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
285,escherichia_coli,ID_25831565,2022-10-24T23:56:11Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
970,escherichia_coli,ID_23857545,2022-06-22T16:41:59Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1789,escherichia_coli,ID_23876955,2022-06-22T23:23:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1479,escherichia_coli,ID_23869215,2022-06-22T18:21:43Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
788,escherichia_coli,ID_32331395,2024-02-19T16:56:30Z,clinical,USA:Boston,urine,Vitek,CLSI
323,escherichia_coli,ID_25832515,2022-10-25T00:02:35Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2623,escherichia_coli,ID_25579365,2022-10-17T15:37:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1750,escherichia_coli,ID_23876185,2022-06-22T23:17:28Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
356,escherichia_coli,ID_25833415,2022-10-25T00:09:36Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
307,escherichia_coli,ID_25832105,2022-10-24T23:59:37Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
812,escherichia_coli,ID_32330515,2024-02-04T19:02:30Z,clinical,USA:Boston,urine,Vitek,CLSI
1510,escherichia_coli,ID_23869845,2022-06-22T18:27:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
494,escherichia_coli,ID_12442225,2017-07-07T11:45:09Z,clinical,USA:Boston,urine,Vitek,CLSI
912,escherichia_coli,ID_38509365,2024-04-26T14:53:55Z,clinical,USA:Boston,urine,Vitek,CLSI
1845,escherichia_coli,ID_23878085,2022-06-22T23:33:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
351,escherichia_coli,ID_25833215,2022-10-25T00:07:25Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2551,escherichia_coli,ID_24164785,2022-07-06T07:03:45Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2599,escherichia_coli,ID_24166085,2022-07-06T07:10:15Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1497,escherichia_coli,ID_23869585,2022-06-22T18:25:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1581,escherichia_coli,ID_23871265,2022-06-22T18:39:01Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1187,escherichia_coli,ID_23861985,2022-06-22T17:13:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
3004,escherichia_coli,ID_2056065,2017-03-21T12:57:24Z,clinical,,,,CLSI
1721,escherichia_coli,ID_23875605,2022-06-22T23:10:01Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2939,escherichia_coli,ID_25789235,2022-10-21T16:43:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
409,escherichia_coli,ID_32332235,2024-02-06T20:05:20Z,clinical,USA:Boston,sputum,Vitek,CLSI
2439,escherichia_coli,ID_23892145,2022-06-23T01:23:52Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1866,escherichia_coli,ID_23878525,2022-06-22T23:36:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2180,escherichia_coli,ID_23884925,2022-06-23T00:31:45Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2996,escherichia_coli,ID_12677425,2016-06-06T16:14:36Z,clinical,USA:Boston,blood,Vitek,CLSI
3018,escherichia_coli,ID_2788115,2017-11-20T14:54:04Z,clinical,,,,CLSI
2418,escherichia_coli,ID_23891725,2022-06-23T01:21:07Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1694,escherichia_coli,ID_23875065,2022-06-22T23:06:28Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2383,escherichia_coli,ID_23891025,2022-06-23T01:16:45Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1361,escherichia_coli,ID_23866815,2022-06-22T17:56:16Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
612,escherichia_coli,ID_15671865,2020-11-24T00:21:04Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
1108,escherichia_coli,ID_23860365,2022-06-22T17:01:58Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
974,escherichia_coli,ID_23857625,2022-06-22T16:42:13Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1050,escherichia_coli,ID_23859165,2022-06-22T16:53:00Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2594,escherichia_coli,ID_24165985,2022-07-06T07:08:56Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
841,escherichia_coli,ID_32329175,2024-02-17T08:16:03Z,clinical,USA:Boston,urine,Vitek,CLSI
442,escherichia_coli,ID_32328505,2024-02-05T01:03:29Z,clinical,USA:Boston,Abscess,Vitek,CLSI
1266,escherichia_coli,ID_23863565,2022-06-22T17:24:15Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1182,escherichia_coli,ID_23861865,2022-06-22T17:11:54Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2463,escherichia_coli,ID_23894235,2022-06-23T03:01:46Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1564,escherichia_coli,ID_23870925,2022-06-22T18:36:37Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
524,escherichia_coli,ID_4567505,2019-07-12T08:46:56Z,clinical,"USA: Rochester, NY",sepsis,,CLSI
3011,escherichia_coli,ID_2180215,2017-06-08T13:53:12Z,clinical,,,,CLSI
1526,escherichia_coli,ID_23870165,2022-06-22T18:30:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
312,escherichia_coli,ID_25832235,2022-10-25T00:01:10Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2057,escherichia_coli,ID_23882335,2022-06-23T00:10:17Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
632,escherichia_coli,ID_15672225,2020-11-24T00:29:33Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
121,escherichia_coli,ID_25827435,2022-10-24T23:24:32Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
2863,escherichia_coli,ID_25787145,2022-10-21T16:00:40Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
324,escherichia_coli,ID_25832535,2022-10-25T00:02:40Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1864,escherichia_coli,ID_23878485,2022-06-22T23:36:25Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2056,escherichia_coli,ID_23882325,2022-06-23T00:10:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
539,escherichia_coli,ID_4569855,2019-07-12T10:50:36Z,clinical,"USA: Rochester, NY",post-colorectal surgical infection,,CLSI
268,escherichia_coli,ID_25831055,2022-10-24T23:52:35Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1220,escherichia_coli,ID_23862645,2022-06-22T17:17:50Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1368,escherichia_coli,ID_23866955,2022-06-22T17:57:42Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2003,escherichia_coli,ID_23881265,2022-06-23T00:02:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1881,escherichia_coli,ID_23878825,2022-06-22T23:39:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2401,escherichia_coli,ID_23891385,2022-06-23T01:19:01Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1268,escherichia_coli,ID_23863605,2022-06-22T17:24:24Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
352,escherichia_coli,ID_25833225,2022-10-25T00:07:26Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1303,escherichia_coli,ID_23865555,2022-06-22T17:41:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1951,escherichia_coli,ID_23880225,2022-06-22T23:49:15Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1967,escherichia_coli,ID_23880545,2022-06-22T23:51:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
31,escherichia_coli,ID_26421085,2022-11-27T23:16:27Z,clinical,Greece,blood,Vitek,EUCAST
2435,escherichia_coli,ID_23892065,2022-06-23T01:23:36Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
73,escherichia_coli,ID_13084385,2016-12-20T12:28:29Z,clinical,USA:Boston,neck,Vitek,CLSI
2491,escherichia_coli,ID_23894815,2022-06-23T03:06:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
820,escherichia_coli,ID_32330255,2024-02-06T22:13:28Z,clinical,USA:Boston,urine,Vitek,CLSI
1973,escherichia_coli,ID_23880665,2022-06-22T23:52:14Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2807,escherichia_coli,ID_25785985,2022-10-21T15:32:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
811,escherichia_coli,ID_32330575,2024-02-06T22:13:28Z,clinical,USA:Boston,urine,Vitek,CLSI
21,escherichia_coli,ID_692655,2014-05-19T17:34:32Z,clinical,USA: Boston,BLOOD CULTURE,,
2041,escherichia_coli,ID_23882015,2022-06-23T00:07:52Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1583,escherichia_coli,ID_23871305,2022-06-22T18:39:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2238,escherichia_coli,ID_23886145,2022-06-23T00:39:27Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
214,escherichia_coli,ID_25829615,2022-10-24T23:42:37Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2720,escherichia_coli,ID_25783695,2022-10-21T14:47:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
3030,escherichia_coli,ID_770275,2014-10-31T11:01:40Z,clinical,USA,Surveillance swab - Groin,Phoenix,CLSI
775,escherichia_coli,ID_32332075,2024-02-16T16:25:50Z,clinical,USA:Boston,urine,Vitek,CLSI
2174,escherichia_coli,ID_23884825,2022-06-23T00:29:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2475,escherichia_coli,ID_23894485,2022-06-23T03:04:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1806,escherichia_coli,ID_23877305,2022-06-22T23:24:56Z,clinical,USA: District of Columbia,FLUID,Phoenix,CLSI
1905,escherichia_coli,ID_23879305,2022-06-22T23:42:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
273,escherichia_coli,ID_25831225,2022-10-24T23:53:26Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
411,escherichia_coli,ID_32332135,2024-02-07T08:06:37Z,clinical,USA:Boston,Abdominal wall,Vitek,CLSI
1001,escherichia_coli,ID_23858185,2022-06-22T16:46:01Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1013,escherichia_coli,ID_23858425,2022-06-22T16:47:29Z,clinical,USA: District of Columbia,Tissue,Phoenix,CLSI
894,escherichia_coli,ID_36668675,2024-02-15T22:08:08Z,clinical,USA:Boston,Urinary tract infection,Vitek,CLSI
1642,escherichia_coli,ID_23872505,2022-06-22T18:49:53Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
1138,escherichia_coli,ID_23860945,2022-06-22T17:05:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2334,escherichia_coli,ID_23889905,2022-06-23T01:05:32Z,clinical,USA: District of Columbia,FLUID,Phoenix,CLSI
462,escherichia_coli,ID_12741135,2016-01-13T19:22:10Z,clinical,USA:Boston,urine,Vitek,CLSI
1861,escherichia_coli,ID_23878425,2022-06-22T23:36:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1679,escherichia_coli,ID_23874765,2022-06-22T23:03:59Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
2825,escherichia_coli,ID_25786345,2022-10-21T15:41:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
325,escherichia_coli,ID_25832555,2022-10-25T00:02:43Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2242,escherichia_coli,ID_23886215,2022-06-23T00:40:36Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
441,escherichia_coli,ID_31775675,2024-02-05T04:52:35Z,clinical,USA:Boston,blood,Vitek,CLSI
1400,escherichia_coli,ID_23867595,2022-06-22T18:06:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1249,escherichia_coli,ID_23863225,2022-06-22T17:21:40Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2391,escherichia_coli,ID_23891185,2022-06-23T01:17:25Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2243,escherichia_coli,ID_23886245,2022-06-23T00:40:45Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1174,escherichia_coli,ID_23861705,2022-06-22T17:11:08Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
991,escherichia_coli,ID_23857985,2022-06-22T16:45:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
838,escherichia_coli,ID_31775935,2024-02-18T23:57:02Z,clinical,USA:Boston,urine,Vitek,CLSI
1655,escherichia_coli,ID_23872745,2022-06-22T18:51:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2544,escherichia_coli,ID_24164545,2022-07-06T07:02:14Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
372,escherichia_coli,ID_25833825,2022-10-25T00:12:28Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
726,escherichia_coli,ID_32337875,2024-02-06T04:00:35Z,clinical,USA:Boston,urine,Vitek,CLSI
1874,escherichia_coli,ID_23878675,2022-06-22T23:38:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2549,escherichia_coli,ID_24164725,2022-07-06T07:03:30Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2055,escherichia_coli,ID_23882285,2022-06-23T00:10:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1839,escherichia_coli,ID_23877945,2022-06-22T23:33:08Z,clinical,USA: District of Columbia,Perirectal,Phoenix,CLSI
2660,escherichia_coli,ID_25580665,2022-10-17T15:18:13Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1628,escherichia_coli,ID_23872185,2022-06-22T18:47:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1715,escherichia_coli,ID_23875485,2022-06-22T23:09:36Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
265,escherichia_coli,ID_25830995,2022-10-24T23:52:10Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2031,escherichia_coli,ID_23881825,2022-06-23T00:07:08Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
784,escherichia_coli,ID_32331595,2024-02-17T16:02:37Z,clinical,USA:Boston,urine,Vitek,CLSI
667,escherichia_coli,ID_15673935,2020-11-24T00:55:56Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
358,escherichia_coli,ID_25833455,2022-10-25T00:09:53Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
60,escherichia_coli,ID_12586815,2016-09-20T15:19:53Z,clinical,USA:Boston,urine,Vitek,CLSI
2693,escherichia_coli,ID_25783135,2022-10-21T14:33:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
629,escherichia_coli,ID_15672195,2020-11-24T00:29:15Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
422,escherichia_coli,ID_31776215,2024-02-20T22:17:25Z,clinical,USA:Boston,blood,Vitek,CLSI
48,escherichia_coli,ID_12741175,2016-01-13T19:22:10Z,clinical,USA:Boston,urine,Vitek,CLSI
1102,escherichia_coli,ID_23860245,2022-06-22T17:00:29Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
